image_url,category,title,occasion,size_tiers,flavour,technique,price_band,lead_time,description,alt
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/birthday-teddy-candle-white.jpg,birthday,Sun and Moon Themed Cake,Birthday,"4 lb, single tier",Chocolate fudge,Whipped cream finish,"Rs. 8,000 – 8,400",3 days,"A chocolate fudge cake finished in whipped cream on a sun and moon theme, styled with a single candle and a teddy bear.","White floral cake with a single candle, styled with a teddy bear"
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/birthday-heart-pink-pastel.jpg,birthday,Pink Pastel Ruffle Heart Cake,Birthday,"2 lb, single tier",Chocolate fudge,Buttercream finish,"Rs. 4,400 – 4,600",3 days,A chocolate fudge heart cake finished in soft pastel buttercream ruffles.,Pink heart cake with pastel buttercream ruffles
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/wedding-three-tier-ivory-floral.jpg,wedding tiered,Three-Tier Ivory Rose Wedding Cake,Wedding,"12 lb, three tier",Chocolate fudge,Buttercream finish,"Rs. 30,000 – 34,000",5 days,"A three-tier buttercream wedding cake in ivory, hand-piped with blossoms and finished with fresh roses. Our largest tiered design to date.",Three-tier ivory wedding cake with piped blossoms and fresh roses
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/tiered-vintage-pastel-three-tier.jpg,wedding tiered,Three-Tier Vintage Pastel Wedding Cake,Wedding,"9 lb, three tier",Chocolate fudge,Buttercream finish,"Rs. 25,000 – 28,000",5 days,"A three-tier buttercream wedding cake in vintage style, hand-piped with pastel swags and flowers.",Three-tier vintage buttercream cake with pastel piped swags and flowers
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/themed-frozen-elsa-castle.jpg,themed birthday,Frozen Ice Castle Birthday Cake,Birthday,"1.5 lb, single tier",Chocolate fudge,Whipped cream finish,"Rs. 2,700 – 3,200",3 days,"A single-tier Frozen themed birthday cake in chocolate fudge, finished in whipped cream with a fondant ice castle, an Elsa figure and blue piped roses.","Frozen themed birthday cake with an ice castle topper, Elsa and blue buttercream roses"
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/themed-dinosaur-jungle.jpg,themed birthday,Dinosaur Jungle 2nd Birthday Cake,2nd birthday,"1.5 lb, single tier",Chocolate fudge,Whipped cream finish,"Rs. 2,700 – 3,200",3 days,"A chocolate fudge cake for a second birthday, covered in green whipped cream with a jungle scene, fondant eggs and dinosaur toppers.","Dinosaur jungle cake with green buttercream, fondant eggs and dinosaur toppers"
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/themed-bee-daisy-half-birthday.jpg,themed birthday,Bee and Daisy Half Birthday Cake,Half birthday (6 months),"2 lb, half cake",Chocolate fudge,Whipped cream finish,"Rs. 2,700 – 3,200",3 days,"A chocolate fudge half cake for a six-month celebration, decorated with bees, daisies and a Half Way To One topper.",Bee and daisy half-birthday cake with a Half Way To One topper
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/themed-welcome-baby-girl-teddy.jpg,themed,Welcome Baby Girl Teddy Bear Cake,Baby welcome,"2 lb, single tier",KitKat,Whipped cream finish,"Rs. 3,900 – 4,800",3 days,"A KitKat flavoured welcome cake for a baby girl, finished in pink whipped cream with a fondant teddy bear, ladder and name blocks.","Pink welcome baby cake with a fondant teddy bear, ladder and name blocks"
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/themed-welcome-baby-boy-teddy.jpg,themed,It's A Boy Welcome Baby Cake,Baby welcome,"2 lb, single tier",Lotus,Whipped cream finish,"Rs. 3,900 – 4,800",3 days,"A Lotus flavoured welcome cake for a baby boy, finished in blue whipped cream with a fondant teddy bear, ladder and balloons.","Blue It's A Boy welcome cake with a fondant teddy bear, ladder and balloons"
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/themed-spiderman-birthday.jpg,themed birthday,Spider-Man Themed Birthday Cake,6th birthday,"2 lb, single tier",Chocolate fudge,Whipped cream finish,"Rs. 3,700 – 4,200",3 days,"A chocolate fudge cake for a sixth birthday, finished in whipped cream with comic-style Spider-Man toppers and a city skyline.",Spider-Man themed birthday cake with comic-style toppers and a city skyline
